commander_id,current_name,current_order,proposed_community_order,status,notes
4bc2dbee-270d-40da-9e0c-b7a0170b81cf,"Jaheira, Friend of the Forest / Noble Heritage","Jaheira, Friend of the Forest / Noble Heritage",,,
e7008dca-5906-47e9-b96f-ffd4d57c2891,"Jaheira, Friend of the Forest / Street Urchin","Jaheira, Friend of the Forest / Street Urchin",,,
af7b6926-7209-4a55-8b08-466eeaa8821f,"Jamie McCrimmon / The Fifth Doctor","Jamie McCrimmon / The Fifth Doctor",,,
fb1f8259-0fb3-4908-beb9-8d2d15591858,"Jenny Flint / Madame Vastra","Jenny Flint / Madame Vastra",,,
1cb28112-989b-48ac-a37c-af25eced4459,"Jeska, Thrice Reborn / Ishai, Ojutai Dragonspeaker","Jeska, Thrice Reborn / Ishai, Ojutai Dragonspeaker",,,
a54a1034-da6c-468a-a7ee-75f3a417af2a,"Jeska, Thrice Reborn / Malcolm, Keen-Eyed Navigator","Jeska, Thrice Reborn / Malcolm, Keen-Eyed Navigator",,,
489f8b8f-068d-42c8-b061-0dc7e6677e9a,"Jeska, Thrice Reborn / Rograkh, Son of Rohgahh","Jeska, Thrice Reborn / Rograkh, Son of Rohgahh",,,
fc4e15d0-bd81-4efc-bfd9-a47374bd9359,"Jeska, Thrice Reborn / Sidar Kondo of Jamuraa","Jeska, Thrice Reborn / Sidar Kondo of Jamuraa",,,
e27e7c33-1b52-4732-b609-54be34233556,"Jeska, Thrice Reborn / Silas Renn, Seeker Adept","Jeska, Thrice Reborn / Silas Renn, Seeker Adept",,,
dafb76f4-6c05-4828-ab4f-85b4c88cd7bb,"Jeska, Thrice Reborn / Tevesh Szat, Doom of Fools","Jeska, Thrice Reborn / Tevesh Szat, Doom of Fools",,,
f559f150-2dd2-4a26-99b3-942dce37addb,"Jeska, Thrice Reborn / Thrasios, Triton Hero","Jeska, Thrice Reborn / Thrasios, Triton Hero",,,
7f8ee855-4bc0-47d8-be0a-93530d02ec87,"Jeska, Thrice Reborn / Tymna the Weaver","Jeska, Thrice Reborn / Tymna the Weaver",,,
6da77356-a0eb-4904-90cc-9d2bbd391bba,"Jeska, Thrice Reborn / Yoshimaru, Ever Faithful","Jeska, Thrice Reborn / Yoshimaru, Ever Faithful",,,
5846d30a-62e8-4fef-9a05-e6dc9bb84791,"K-9, Mark I / The Fourteenth Doctor","K-9, Mark I / The Fourteenth Doctor",,,
7d977dd6-8270-49eb-a216-462ef8426322,"K-9, Mark I / The Fugitive Doctor","K-9, Mark I / The Fugitive Doctor",,,
2b6a0f4c-c0ee-473d-ac20-10e1e367190a,"K-9, Mark I / The Second Doctor","K-9, Mark I / The Second Doctor",,,
060f6487-ef84-4a19-aca4-e658456676a0,"K-9, Mark I / The War Doctor","K-9, Mark I / The War Doctor",,,
ae295a68-a2cc-424b-ade0-ad36061cba2c,"Kaalia of the Vast / Kinnan, Bonder Prodigy","Kaalia of the Vast / Kinnan, Bonder Prodigy",,,
ecc3de70-2ea3-4e2c-81a3-9915ff389d71,"Kaalia of the Vast / Thrasios, Triton Hero","Kaalia of the Vast / Thrasios, Triton Hero",,,
2ca1a882-52b4-44f5-a883-d76d4157b572,"Kamahl, Heart of Krosa / Kodama of the East Tree","Kamahl, Heart of Krosa / Kodama of the East Tree",,,
d808818c-9dae-4008-b150-6277f5e12730,"Kamahl, Heart of Krosa / Rograkh, Son of Rohgahh","Kamahl, Heart of Krosa / Rograkh, Son of Rohgahh",,,
6afe0afb-ab1b-4f61-9dc9-8e552551a6ec,"Kamahl, Heart of Krosa / Tymna the Weaver","Kamahl, Heart of Krosa / Tymna the Weaver",,,
ef222514-ef2b-4221-955a-03f7ef469959,"Kami of the Crescent Moon / Kardur, Doomscourge","Kami of the Crescent Moon / Kardur, Doomscourge",,,
f039a4f7-e4e3-433b-b4c3-745ac01d9032,"Karlach, Fury of Avernus / Sword Coast Sailor","Karlach, Fury of Avernus / Sword Coast Sailor",,,
2c806f71-5560-402e-9fad-7e19e1641444,"Kediss, Emberclaw Familiar / Malcolm, Keen-Eyed Navigator","Kediss, Emberclaw Familiar / Malcolm, Keen-Eyed Navigator",,,
2374a457-cfa3-4b56-a385-e2e09da422ee,"Kediss, Emberclaw Familiar / Tymna the Weaver","Kediss, Emberclaw Familiar / Tymna the Weaver",,,
2b1a403e-7c19-44f0-a5f9-a72a6b070795,"Kediss, Emberclaw Familiar / Yoshimaru, Ever Faithful","Kediss, Emberclaw Familiar / Yoshimaru, Ever Faithful",,,
d6f78d18-5046-486b-a937-86e9abbd2248,"Keleth, Sunmane Familiar / Reyhan, Last of the Abzan","Keleth, Sunmane Familiar / Reyhan, Last of the Abzan",,,
3a0ba0ab-3614-4d7d-b43b-9d7aa0bced38,"Keleth, Sunmane Familiar / Yoshimaru, Ever Faithful","Keleth, Sunmane Familiar / Yoshimaru, Ever Faithful",,,
e9f6b84d-5315-484e-bf07-5e3b9a352c39,"Kenrith, the Returned King / The Infamous Cruelclaw","Kenrith, the Returned King / The Infamous Cruelclaw",,,
0ef208be-8a50-49bf-9291-90a26535a214,"Kenrith, the Returned King / Trazyn the Infinite","Kenrith, the Returned King / Trazyn the Infinite",,,
9bde1d60-8ae6-4b91-a81f-61f7db65f1e5,"Kenrith, the Returned King / Zirda, the Dawnwaker","Kenrith, the Returned King / Zirda, the Dawnwaker",,,
33097ce9-3226-42a3-bf4a-18a1d0d6ac21,"Kinnan, Bonder Prodigy / Kutzil, Malamet Exemplar","Kinnan, Bonder Prodigy / Kutzil, Malamet Exemplar",,,
22bcc075-f63d-421a-871c-5881f09803d0,"Kinnan, Bonder Prodigy / Lotho, Corrupt Shirriff","Kinnan, Bonder Prodigy / Lotho, Corrupt Shirriff",,,
2e548884-57d7-4844-bf19-8ee0018bdbd9,"Kinnan, Bonder Prodigy / Magda, Brazen Outlaw","Kinnan, Bonder Prodigy / Magda, Brazen Outlaw",,,
4007c771-c4fd-46c8-82d1-7e2faea91416,"Kinnan, Bonder Prodigy / Ragavan, Nimble Pilferer","Kinnan, Bonder Prodigy / Ragavan, Nimble Pilferer",,,
42fb0e06-f1b7-48ed-a837-1d0d30dc1b8b,"Kinnan, Bonder Prodigy / Razaketh, the Foulblooded","Kinnan, Bonder Prodigy / Razaketh, the Foulblooded",,,
39bebfab-1ef9-46b5-a112-e45446c95e29,"Kinnan, Bonder Prodigy / Tezzeret the Seeker","Kinnan, Bonder Prodigy / Tezzeret the Seeker",,,
ce6c3d6e-3305-4192-a454-0a5f1ba8d795,"Kinnan, Bonder Prodigy / Zirda, the Dawnwaker","Kinnan, Bonder Prodigy / Zirda, the Dawnwaker",,,
8eefbea2-2514-420d-b130-013eddaf7677,"Kodama of the East Tree / Kraum, Ludevic's Opus","Kodama of the East Tree / Kraum, Ludevic's Opus",,,
8a334290-7dd8-4729-8115-35b1b73c17f0,"Kodama of the East Tree / Prava of the Steel Legion","Kodama of the East Tree / Prava of the Steel Legion",,,
ebdd484a-f2e8-4357-ac4a-ec235dc0c8a0,"Kodama of the East Tree / Sakashima of a Thousand Faces","Kodama of the East Tree / Sakashima of a Thousand Faces",,,
5fad0fac-653b-4317-8694-4db3819a39f0,"Kodama of the East Tree / Silas Renn, Seeker Adept","Kodama of the East Tree / Silas Renn, Seeker Adept",,,
2b058ee2-ca82-40a4-a806-62ef2e12418f,"Kodama of the East Tree / Tevesh Szat, Doom of Fools","Kodama of the East Tree / Tevesh Szat, Doom of Fools",,,
468d015e-af23-4d2e-998a-b828c7c9054a,"Kodama of the East Tree / Thrasios, Triton Hero","Kodama of the East Tree / Thrasios, Triton Hero",,,
5abcd78b-e724-4f69-99ef-8cb3f55e3416,"Kodama of the East Tree / Toggo, Goblin Weaponsmith","Kodama of the East Tree / Toggo, Goblin Weaponsmith",,,
4434ca3f-3946-4a8b-a835-8c69893bf975,"Kodama of the East Tree / Tymna the Weaver","Kodama of the East Tree / Tymna the Weaver",,,
2740c7b8-2f63-4ece-a351-3196b51daa9d,"Kodama of the East Tree / Vial Smasher the Fierce","Kodama of the East Tree / Vial Smasher the Fierce",,,
1a8c414a-990c-4f6e-982e-5baf970659f9,"Krark, the Thumbless / Kydele, Chosen of Kruphix","Krark, the Thumbless / Kydele, Chosen of Kruphix",,,
a28a9b79-6826-4778-90ff-722ece277077,"Krark, the Thumbless / Malcolm, Keen-Eyed Navigator","Krark, the Thumbless / Malcolm, Keen-Eyed Navigator",,,
